Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
13047,88810,Female,disloyal Customer,20,Business travel,Eco Plus,404,2,2,2,4,3,2,3,3,4,4,4,3,4,3,0,0.0
14975,44461,Male,Loyal Customer,51,Business travel,Business,1627,1,1,1,1,2,4,5,4,4,4,5,5,4,2,0,0.0
12642,73353,Male,Loyal Customer,41,Business travel,Eco,1012,3,5,5,5,3,3,3,3,3,5,3,2,4,3,1,1.0
23011,64429,Male,Loyal Customer,49,Business travel,Business,3985,3,3,3,3,5,4,5,4,4,5,4,4,4,4,1,0.0
13308,65486,Male,Loyal Customer,23,Personal Travel,Eco,1067,3,4,2,2,3,2,3,3,4,2,4,3,4,3,0,0.0
9687,12850,Female,Loyal Customer,48,Personal Travel,Eco,817,2,2,2,4,5,4,4,2,2,2,2,3,2,1,2,0.0
6235,53487,Male,Loyal Customer,59,Business travel,Eco,919,1,2,3,2,1,1,1,1,2,3,4,3,3,1,65,59.0
16419,46436,Male,Loyal Customer,50,Business travel,Business,2408,2,2,2,2,3,2,2,5,5,4,5,3,5,5,0,0.0
5836,33824,Female,Loyal Customer,47,Business travel,Eco Plus,1521,4,2,2,2,1,4,4,4,4,4,4,4,4,1,0,5.0
4461,99279,Female,Loyal Customer,16,Business travel,Eco,935,3,2,2,2,3,2,3,3,1,3,4,4,4,3,34,29.0
13904,44783,Male,disloyal Customer,13,Business travel,Eco,1250,3,3,3,4,2,3,2,2,4,3,4,4,3,2,0,0.0
8887,51006,Male,Loyal Customer,49,Personal Travel,Eco,190,4,4,0,4,5,0,5,5,2,2,3,4,4,5,0,0.0
18687,126243,Male,disloyal Customer,28,Business travel,Eco,468,3,4,3,1,5,3,1,5,3,3,3,1,2,5,0,0.0
5345,54438,Male,Loyal Customer,41,Business travel,Eco Plus,305,5,4,4,4,5,5,5,5,2,5,4,3,4,5,2,0.0
15174,113391,Female,Loyal Customer,41,Business travel,Business,2736,2,2,2,2,5,5,4,5,5,5,5,3,5,3,0,2.0
843,103577,Female,Loyal Customer,35,Personal Travel,Eco,689,1,4,1,2,1,1,1,1,4,4,5,3,4,1,0,1.0
22630,114216,Male,Loyal Customer,48,Business travel,Business,2981,1,3,3,3,3,3,4,1,1,1,1,1,1,3,5,1.0
23358,89998,Male,Loyal Customer,39,Business travel,Business,2367,1,1,1,1,3,5,5,5,5,5,5,3,5,5,0,11.0
11451,23637,Female,Loyal Customer,22,Personal Travel,Eco,793,3,4,3,3,2,3,2,2,4,3,4,3,5,2,102,106.0
2564,104572,Female,Loyal Customer,43,Business travel,Business,369,2,1,2,2,5,5,5,2,2,2,2,4,2,4,0,0.0
10041,120716,Male,Loyal Customer,40,Business travel,Business,90,2,2,2,2,3,5,4,5,5,5,4,4,5,5,0,0.0
4211,92955,Female,Loyal Customer,47,Business travel,Eco Plus,134,3,3,3,3,4,2,3,3,3,3,3,3,3,2,13,7.0
14046,33285,Male,Loyal Customer,51,Personal Travel,Eco Plus,101,2,3,0,4,3,0,3,3,4,1,4,3,4,3,0,0.0
21383,52805,Female,Loyal Customer,21,Business travel,Business,2402,2,2,2,2,4,4,4,4,3,3,5,5,4,4,0,3.0
2434,50481,Female,Loyal Customer,36,Business travel,Eco,110,2,1,1,1,2,2,2,2,3,5,4,4,3,2,6,13.0
12469,55160,Female,Loyal Customer,44,Personal Travel,Eco,1379,3,3,3,5,5,5,3,4,4,3,4,1,4,5,30,27.0
13633,4389,Female,Loyal Customer,22,Personal Travel,Eco,607,2,5,3,3,4,3,4,4,5,3,5,5,4,4,0,0.0
9325,96504,Male,Loyal Customer,53,Business travel,Eco,444,2,5,2,5,2,2,2,2,2,2,3,1,4,2,0,0.0
22085,22187,Male,Loyal Customer,29,Business travel,Business,1995,2,5,5,5,2,2,2,2,3,3,3,3,3,2,49,45.0
22706,57042,Male,Loyal Customer,67,Personal Travel,Business,2133,3,5,3,4,3,5,3,4,4,3,1,4,4,3,23,26.0
4501,22426,Male,Loyal Customer,38,Personal Travel,Eco,238,2,4,2,2,5,2,5,5,3,5,5,5,5,5,0,15.0
22862,57254,Female,Loyal Customer,60,Business travel,Eco,804,2,2,2,2,2,3,4,2,2,2,2,4,2,3,0,0.0
7484,26741,Female,Loyal Customer,44,Business travel,Eco Plus,515,4,4,3,4,1,1,3,4,4,4,4,4,4,5,0,0.0
752,108193,Male,Loyal Customer,55,Business travel,Business,1624,4,4,4,4,4,5,5,5,5,5,5,5,5,3,0,0.0
11833,106367,Male,Loyal Customer,16,Business travel,Business,2984,3,4,5,4,3,3,3,3,1,3,4,3,3,3,0,0.0
7729,123034,Male,Loyal Customer,43,Business travel,Business,3237,1,1,1,1,5,5,5,5,5,5,5,3,5,4,11,13.0
6232,93340,Male,Loyal Customer,24,Business travel,Business,3328,5,5,5,5,4,4,4,4,4,2,5,5,5,4,0,0.0
14358,39295,Female,Loyal Customer,43,Personal Travel,Eco,67,3,5,3,4,3,4,4,4,4,3,4,4,4,3,0,0.0
8892,80897,Male,Loyal Customer,45,Personal Travel,Eco Plus,692,2,1,2,4,1,2,1,1,1,2,3,3,3,1,0,0.0
3635,2417,Male,Loyal Customer,38,Personal Travel,Eco,641,2,3,2,3,1,2,1,1,3,4,2,4,2,1,0,0.0
23085,118205,Male,Loyal Customer,62,Personal Travel,Eco,1444,3,0,3,1,2,3,2,2,3,5,4,5,4,2,23,26.0
15981,106721,Male,disloyal Customer,47,Business travel,Business,829,3,3,3,2,4,3,4,4,5,3,5,5,5,4,0,0.0
9384,116279,Male,Loyal Customer,46,Personal Travel,Eco,337,2,3,2,4,3,2,3,3,5,4,5,1,2,3,0,0.0
11681,12401,Female,Loyal Customer,78,Business travel,Business,2258,3,3,3,3,3,5,5,4,4,4,4,3,4,2,0,0.0
16214,30160,Male,Loyal Customer,18,Personal Travel,Eco,399,2,4,2,2,3,2,3,3,5,2,4,3,5,3,10,21.0
1512,4173,Female,Loyal Customer,23,Personal Travel,Eco,427,2,3,2,4,2,2,2,2,1,2,4,2,4,2,0,0.0
6602,38194,Male,Loyal Customer,67,Personal Travel,Eco,1249,1,4,1,3,3,1,3,3,5,3,4,4,5,3,10,3.0
10210,81645,Female,Loyal Customer,33,Business travel,Business,2760,4,4,4,4,2,4,5,3,3,2,3,5,3,5,0,0.0
2516,1804,Male,Loyal Customer,59,Business travel,Business,2149,5,5,5,5,3,4,4,5,5,5,5,3,5,3,0,0.0
24020,66436,Female,disloyal Customer,26,Business travel,Business,1217,3,4,4,2,2,4,5,2,5,4,5,5,5,2,0,0.0
11818,97780,Female,disloyal Customer,39,Business travel,Business,471,3,3,3,1,4,3,4,4,5,2,4,4,4,4,1,0.0
23299,37714,Male,Loyal Customer,44,Personal Travel,Eco,1005,3,5,3,5,1,3,1,1,4,4,5,4,5,1,39,30.0
22455,24031,Female,Loyal Customer,43,Business travel,Eco,427,5,5,3,3,5,3,5,5,5,5,5,3,5,2,1,0.0
21468,89038,Male,Loyal Customer,53,Business travel,Business,1919,2,2,2,2,3,4,5,3,3,4,3,4,3,5,0,1.0
7985,25465,Male,Loyal Customer,28,Business travel,Business,1609,3,3,3,3,5,5,5,5,3,4,5,5,4,5,0,0.0
24439,74188,Female,Loyal Customer,30,Personal Travel,Eco,641,1,5,1,2,5,1,5,5,4,4,4,4,5,5,0,12.0
25375,27042,Male,Loyal Customer,52,Business travel,Business,1489,2,2,2,2,2,5,4,5,5,5,5,5,5,4,0,0.0
21301,87107,Female,Loyal Customer,59,Personal Travel,Eco,594,2,4,1,1,1,1,1,2,2,1,2,2,2,4,17,13.0
8278,106140,Male,Loyal Customer,43,Business travel,Eco,436,3,5,5,5,3,3,3,3,4,1,4,1,4,3,0,0.0
22620,49691,Female,Loyal Customer,59,Business travel,Business,3835,2,1,1,1,2,3,4,1,1,1,2,3,1,4,15,46.0
8972,23506,Male,Loyal Customer,43,Business travel,Business,2116,1,1,1,1,2,4,5,5,5,5,5,4,5,1,0,0.0
19004,97671,Female,Loyal Customer,39,Business travel,Business,1742,2,2,2,2,5,5,5,5,5,5,5,5,5,3,0,0.0
7458,101289,Male,Loyal Customer,39,Business travel,Business,444,4,3,4,4,5,5,4,3,3,4,3,5,3,4,0,0.0
24338,2376,Female,Loyal Customer,17,Personal Travel,Business,604,3,5,2,4,1,2,1,1,4,3,4,5,4,1,0,0.0
21423,55394,Male,Loyal Customer,10,Business travel,Eco Plus,594,2,3,3,3,2,2,1,2,4,1,3,2,3,2,3,8.0
10168,10782,Male,Loyal Customer,44,Business travel,Business,1778,5,5,5,5,5,4,4,5,5,5,5,3,5,4,0,0.0
13728,125241,Female,Loyal Customer,48,Personal Travel,Eco,1149,3,5,3,2,2,4,5,1,1,3,1,5,1,3,16,9.0
7168,128734,Male,Loyal Customer,30,Business travel,Business,1464,4,4,4,4,5,5,5,5,5,5,4,3,5,5,0,0.0
5042,68358,Male,disloyal Customer,23,Business travel,Eco,1322,4,4,4,3,1,4,1,1,3,4,3,3,4,1,34,38.0
2885,104593,Female,Loyal Customer,40,Personal Travel,Eco,369,3,1,3,2,3,3,3,3,2,3,3,1,2,3,0,0.0
16321,111043,Male,Loyal Customer,38,Business travel,Business,2405,1,1,1,1,5,1,3,5,5,5,5,3,5,3,11,7.0
25358,91617,Male,Loyal Customer,23,Business travel,Business,1340,2,2,2,2,5,5,5,5,5,4,4,3,5,5,61,47.0
3399,64356,Female,disloyal Customer,23,Business travel,Eco,758,2,2,2,2,4,2,4,4,4,3,1,5,4,4,0,0.0
24656,21755,Female,Loyal Customer,49,Business travel,Eco Plus,563,4,2,2,2,5,3,3,4,4,4,4,3,4,1,45,40.0
3246,5738,Male,Loyal Customer,48,Personal Travel,Eco Plus,234,3,4,3,1,5,3,3,5,3,3,4,5,5,5,0,0.0
17316,39745,Male,Loyal Customer,51,Personal Travel,Eco Plus,320,4,4,4,4,4,4,4,4,5,2,1,2,5,4,0,0.0
4955,25692,Male,Loyal Customer,59,Business travel,Business,432,5,5,5,5,3,4,2,5,5,5,5,2,5,5,78,55.0
2173,42625,Female,Loyal Customer,44,Business travel,Business,2913,2,2,2,2,3,2,5,3,3,4,3,4,3,2,0,0.0
23481,32558,Male,disloyal Customer,37,Business travel,Eco,101,2,4,2,3,5,2,5,5,2,4,3,3,4,5,0,4.0
1684,40014,Female,Loyal Customer,50,Business travel,Business,575,5,5,5,5,4,2,1,2,2,2,2,5,2,4,0,0.0
6362,47234,Female,Loyal Customer,68,Personal Travel,Eco Plus,965,1,4,1,1,5,5,4,2,2,1,2,3,2,5,0,0.0
20117,11141,Female,Loyal Customer,65,Personal Travel,Eco,429,2,5,2,2,4,5,5,5,5,2,5,3,5,4,4,4.0
21023,61256,Male,Loyal Customer,34,Personal Travel,Eco,967,1,5,1,5,4,1,5,4,5,2,4,4,5,4,5,11.0
17918,25027,Female,Loyal Customer,58,Business travel,Eco,907,1,0,0,4,4,4,3,5,5,1,5,4,5,3,12,10.0
15109,52725,Female,Loyal Customer,48,Business travel,Eco,406,3,4,4,4,5,4,4,4,4,3,4,3,4,3,15,0.0
13079,2874,Male,Loyal Customer,27,Personal Travel,Eco,491,3,2,3,2,3,3,3,1,5,2,2,3,1,3,181,201.0
5638,34508,Male,Loyal Customer,41,Business travel,Eco,1428,4,2,2,2,4,4,4,4,4,3,1,4,4,4,0,0.0
20069,13836,Male,Loyal Customer,21,Business travel,Business,1657,4,4,3,4,3,5,3,3,1,2,3,2,3,3,0,0.0
1448,62051,Male,Loyal Customer,51,Personal Travel,Eco,2475,2,3,2,2,1,2,1,1,4,3,4,1,3,1,0,0.0
6186,22212,Female,Loyal Customer,33,Personal Travel,Eco,565,2,5,2,2,4,2,4,4,3,4,4,4,5,4,49,45.0
8374,32896,Male,Loyal Customer,11,Personal Travel,Eco,101,3,4,0,2,5,0,1,5,3,5,5,2,4,5,0,0.0
10163,97425,Female,Loyal Customer,43,Personal Travel,Eco,587,1,1,2,4,4,4,3,2,2,2,2,1,2,2,2,0.0
21480,71837,Female,Loyal Customer,66,Business travel,Eco,1846,2,1,1,1,1,3,3,2,2,2,2,4,2,4,1,7.0
23970,119289,Female,Loyal Customer,37,Business travel,Business,3766,0,4,0,1,3,5,5,1,1,1,1,3,1,5,80,80.0
6552,53768,Male,Loyal Customer,16,Personal Travel,Eco,1195,4,4,4,3,2,4,2,2,3,2,5,5,5,2,3,0.0
21710,23584,Female,Loyal Customer,41,Business travel,Business,3014,2,2,4,2,5,5,3,4,4,5,4,4,4,4,0,0.0
16507,85720,Male,Loyal Customer,40,Business travel,Business,2105,2,5,2,2,4,4,4,5,5,5,5,4,5,5,31,12.0
21888,52868,Male,disloyal Customer,18,Business travel,Eco,836,2,2,2,4,3,2,3,3,3,4,4,3,4,3,0,0.0
17250,116278,Female,Loyal Customer,60,Personal Travel,Eco,362,3,5,3,5,3,4,4,2,2,3,2,4,2,5,0,0.0
6750,40510,Female,Loyal Customer,66,Personal Travel,Eco,188,1,3,1,2,1,3,3,5,5,1,5,3,5,2,0,0.0
24072,21780,Male,Loyal Customer,45,Business travel,Eco,352,5,1,1,1,5,5,5,5,1,1,1,3,2,5,26,
4160,55683,Female,Loyal Customer,72,Business travel,Business,3408,3,3,3,3,4,5,4,5,5,5,5,5,5,5,6,0.0
23711,49000,Male,Loyal Customer,41,Business travel,Business,3115,0,3,0,1,1,5,5,3,3,3,3,1,3,5,0,0.0
5393,62521,Female,Loyal Customer,33,Business travel,Business,1744,1,2,2,2,2,3,4,1,1,1,1,2,1,3,0,0.0
24862,2278,Male,disloyal Customer,27,Business travel,Business,925,3,3,3,2,2,3,2,2,2,5,2,2,3,2,0,9.0
10865,101180,Male,Loyal Customer,62,Personal Travel,Eco,583,3,2,3,3,5,3,5,5,4,3,4,1,3,5,7,3.0
9172,66004,Male,Loyal Customer,42,Business travel,Business,2211,2,2,2,2,4,4,5,5,5,4,5,5,5,5,0,0.0
14882,34357,Female,Loyal Customer,47,Business travel,Eco,541,5,1,1,1,3,3,4,5,5,5,5,4,5,2,7,0.0
25755,4519,Female,Loyal Customer,35,Personal Travel,Eco Plus,551,2,3,2,4,1,2,1,1,1,2,4,1,4,1,31,28.0
18702,15407,Female,Loyal Customer,33,Business travel,Eco,164,3,3,3,3,3,3,3,3,4,4,3,3,4,3,9,8.0
8309,113065,Male,Loyal Customer,56,Business travel,Business,543,3,3,5,3,4,4,3,3,3,3,3,1,3,2,80,71.0
873,86676,Female,disloyal Customer,25,Business travel,Business,952,4,2,4,1,4,4,4,4,4,5,4,3,5,4,0,0.0
22879,128291,Male,Loyal Customer,62,Business travel,Business,2287,0,0,0,2,2,5,4,2,2,2,2,3,2,4,0,2.0
8703,111964,Female,disloyal Customer,23,Business travel,Eco,533,1,2,1,4,5,1,4,5,1,3,4,3,3,5,44,36.0
5975,47412,Female,disloyal Customer,24,Business travel,Eco,588,3,1,2,3,5,2,3,5,4,3,2,3,3,5,0,0.0
13814,87065,Male,Loyal Customer,45,Business travel,Business,1937,1,1,4,1,4,5,4,4,4,4,4,4,4,5,1,12.0
9000,107274,Male,Loyal Customer,31,Business travel,Business,3716,2,1,2,2,4,4,4,4,3,4,4,4,4,4,13,4.0
12374,50474,Female,disloyal Customer,30,Business travel,Eco,89,3,3,3,4,2,3,5,2,3,1,4,1,4,2,0,0.0
14687,12150,Male,Loyal Customer,34,Business travel,Business,2348,5,5,5,5,3,5,2,2,2,2,2,1,2,1,4,7.0
23590,66920,Female,Loyal Customer,35,Business travel,Business,964,3,3,3,3,2,4,4,5,5,5,5,4,5,3,0,0.0
8149,20901,Female,Loyal Customer,49,Business travel,Business,689,2,2,2,2,2,2,2,2,4,2,3,2,3,2,138,128.0
1834,59544,Male,Loyal Customer,24,Business travel,Business,787,3,3,3,3,5,5,5,5,3,4,5,4,5,5,58,50.0
9418,56126,Female,disloyal Customer,26,Business travel,Business,1400,4,4,4,1,3,4,3,3,4,3,4,3,4,3,38,31.0
4580,120101,Male,Loyal Customer,39,Business travel,Business,1576,4,4,4,4,2,4,5,5,5,5,5,3,5,5,0,
4569,102747,Male,Loyal Customer,34,Business travel,Business,255,3,1,3,3,5,5,5,5,5,5,5,4,5,4,0,0.0
8148,84632,Male,Loyal Customer,30,Personal Travel,Eco,707,4,4,4,4,5,4,5,5,4,3,5,3,5,5,0,0.0
11020,20665,Male,Loyal Customer,30,Business travel,Business,552,5,5,5,5,4,4,4,4,2,1,2,1,1,4,0,0.0
20895,96117,Male,Loyal Customer,30,Business travel,Eco Plus,1090,5,1,1,1,5,4,5,5,1,2,4,3,3,5,0,0.0
10670,7964,Female,Loyal Customer,44,Personal Travel,Eco,594,3,5,3,5,1,3,4,4,4,3,4,2,4,5,0,0.0
2830,94291,Male,Loyal Customer,60,Business travel,Business,3349,2,2,2,2,3,4,4,4,4,4,4,5,4,4,0,0.0
10092,65378,Female,Loyal Customer,48,Business travel,Business,1892,2,2,2,2,2,3,2,4,4,4,4,1,4,4,4,6.0
7606,29090,Male,Loyal Customer,68,Personal Travel,Eco,605,2,4,2,4,2,2,2,2,4,2,5,5,5,2,0,0.0
21506,128033,Male,Loyal Customer,49,Business travel,Business,1440,1,1,1,1,5,4,5,5,5,5,5,3,5,3,0,1.0
8492,29993,Female,Loyal Customer,63,Business travel,Business,95,1,1,1,1,1,4,3,3,3,3,1,4,3,4,14,11.0
24551,53855,Male,Loyal Customer,59,Business travel,Eco,191,3,5,5,5,3,3,3,3,1,3,2,1,2,3,41,36.0
19917,16960,Female,Loyal Customer,34,Business travel,Business,1131,1,1,1,1,3,3,3,1,1,1,1,3,1,4,14,0.0
1915,89521,Female,Loyal Customer,21,Personal Travel,Business,944,2,1,2,3,1,2,1,1,4,4,4,1,4,1,0,0.0
536,19789,Female,Loyal Customer,15,Personal Travel,Eco,667,2,5,3,4,5,3,4,5,4,3,5,3,4,5,35,35.0
15196,7302,Male,Loyal Customer,63,Business travel,Business,135,2,2,2,2,3,5,5,4,4,4,4,5,4,3,0,1.0
20268,47218,Male,Loyal Customer,42,Personal Travel,Eco,954,4,0,4,4,1,4,1,1,3,1,4,4,2,1,0,0.0
24386,53217,Male,disloyal Customer,33,Business travel,Eco,589,2,1,3,3,4,3,4,4,3,5,4,3,3,4,0,0.0
6756,97726,Male,Loyal Customer,54,Business travel,Business,2205,3,3,3,3,3,5,4,4,4,5,4,5,4,5,0,0.0
16600,53214,Male,disloyal Customer,28,Business travel,Eco,612,4,3,4,4,3,4,3,3,4,5,4,3,3,3,0,0.0
10154,74065,Male,Loyal Customer,51,Business travel,Business,641,1,1,1,1,3,4,4,5,5,5,5,5,5,4,35,20.0
15211,41212,Female,disloyal Customer,27,Business travel,Eco,1091,2,2,2,2,2,2,2,2,4,4,4,2,1,2,0,0.0
12574,12693,Male,Loyal Customer,25,Business travel,Business,721,3,3,3,3,2,2,2,2,1,2,1,4,3,2,0,0.0
10429,93759,Female,disloyal Customer,20,Business travel,Eco,368,1,2,1,3,2,1,2,2,4,4,3,4,4,2,16,6.0
6049,101127,Male,disloyal Customer,21,Business travel,Eco,1235,5,5,5,1,4,5,4,4,4,3,4,3,5,4,0,0.0
1822,31232,Female,Loyal Customer,43,Personal Travel,Business,472,3,5,2,1,2,5,3,5,5,2,5,3,5,4,0,0.0
18884,97158,Male,Loyal Customer,22,Business travel,Business,3959,2,4,4,4,2,2,2,2,2,3,4,4,4,2,15,11.0
3053,50339,Female,Loyal Customer,52,Business travel,Business,266,4,4,4,4,1,3,2,5,5,5,5,5,5,5,0,0.0
18836,40991,Male,Loyal Customer,61,Personal Travel,Eco,984,4,4,4,1,4,4,5,4,5,3,4,4,4,4,7,0.0
19796,28652,Male,Loyal Customer,54,Personal Travel,Eco,2404,2,3,2,3,5,2,5,5,2,1,4,4,4,5,0,0.0
5460,101124,Female,Loyal Customer,41,Business travel,Business,1069,2,2,2,2,2,4,4,5,5,5,5,3,5,3,6,0.0
15215,101832,Female,Loyal Customer,21,Personal Travel,Eco,1521,1,4,1,3,1,1,1,1,1,3,3,2,4,1,0,0.0
15891,26675,Male,Loyal Customer,19,Personal Travel,Eco,515,3,5,3,5,3,3,2,3,4,4,4,3,4,3,0,0.0
7888,129536,Female,Loyal Customer,26,Business travel,Business,2342,2,4,4,4,2,2,2,2,2,4,4,4,4,2,16,6.0
1921,111474,Male,Loyal Customer,61,Personal Travel,Eco Plus,1024,2,5,2,1,4,2,4,4,5,4,2,5,3,4,0,0.0
19482,74841,Female,Loyal Customer,31,Personal Travel,Eco,1797,2,5,2,2,1,2,1,1,5,3,3,4,5,1,15,1.0
5625,75423,Female,Loyal Customer,36,Business travel,Business,2330,2,4,4,4,2,2,2,2,2,2,2,2,2,3,2,0.0
23475,98558,Male,disloyal Customer,27,Business travel,Business,992,2,2,2,4,3,2,3,3,3,2,4,3,3,3,0,0.0
18709,77302,Male,disloyal Customer,25,Business travel,Business,599,2,5,2,5,2,2,2,2,3,3,5,3,5,2,0,0.0
21037,90085,Male,Loyal Customer,60,Business travel,Business,3959,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0,0.0
19178,51476,Female,disloyal Customer,47,Business travel,Business,451,4,3,3,4,2,4,2,2,4,4,4,5,5,2,20,8.0
